level_0,level_1,level_2,control_data_Oz
17,0,18,-1.9585067930967624e-05
17,0,19,-2.0498101672129353e-05
17,0,20,-1.7735695556058664e-05
17,0,21,-1.2710599010688794e-05
17,0,22,-7.835443219279023e-06
17,0,23,-4.714306921631945e-06
17,0,24,-3.7699643705919655e-06
17,0,25,-4.570354280877549e-06
17,0,26,-6.368029520975864e-06
17,0,27,-7.792444491925752e-06
17,0,28,-7.186527471043577e-06
17,0,29,-3.776068535323344e-06
17,0,30,5.660580511851503e-07
17,0,31,1.9586288836673476e-06
17,0,32,-2.4947259961423607e-06
17,0,33,-1.1046457239886106e-05
17,0,34,-1.7736242708079404e-05
17,0,35,-1.683079488043926e-05
17,0,36,-8.495409692103558e-06
18,0,0,6.171168298450011e-06
18,0,1,3.534070545267433e-06
18,0,2,-9.966160326517246e-07
18,0,3,-3.875529422199791e-06
18,0,4,-2.636644279117517e-06
18,0,5,2.205886663560929e-06
18,0,6,7.7529993423242e-06
18,0,7,1.1254135628758154e-05
18,0,8,1.1823309790736953e-05
18,0,9,1.041664233586404e-05
18,0,10,8.46647830141117e-06
18,0,11,6.932827921980289e-06
18,0,12,6.067909725440251e-06
18,0,13,5.697467070919901e-06
18,0,14,5.284063160228552e-06
18,0,15,4.097511980156592e-06
18,0,16,1.7657226898605587e-06
18,0,17,-9.723542606762312e-07
18,0,18,-2.3663229865358837e-06
18,0,19,-9.35479888837019e-07
18,0,20,2.920333325025004e-06
18,0,21,6.728118123859063e-06
18,0,22,7.65376255494561e-06
18,0,23,4.8996026455598335e-06
18,0,24,4.269783921659963e-07
18,0,25,-2.6906226085731397e-06
18,0,26,-2.9096964205313865e-06
18,0,27,-1.2596656421359163e-06
18,0,28,1.0302849926849277e-08
18,0,29,-1.1946847458363796e-07
18,0,30,-3.8575836362748754e-07
18,0,31,1.2834346498746463e-06
18,0,32,5.330356441238617e-06
18,0,33,9.689594443220188e-06
18,0,34,1.1431417249052481e-05
18,0,35,9.402764548262796e-06
18,0,36,5.29773977795973e-06
19,0,0,8.446985283076542e-06
19,0,1,1.7426924646790875e-06
19,0,2,-7.020149600992344e-06
19,0,3,-1.3113142826883385e-05
19,0,4,-1.3133330699180521e-05
19,0,5,-7.680652311901036e-06
19,0,6,-1.0099975193477795e-06
19,0,7,2.3441793368029118e-06
19,0,8,9.927807843866686e-07
19,0,9,-2.591735612862063e-06
19,0,10,-4.583285840537932e-06
19,0,11,-3.1420110203532275e-06
19,0,12,3.435107424848683e-07
19,0,13,2.9772618734381993e-06
19,0,14,3.0628707920023538e-06
19,0,15,1.2825237909172479e-06
19,0,16,-4.258879080023211e-07
19,0,17,-6.931176006728843e-07
19,0,18,5.497809152144422e-07
19,0,19,2.7409205767137265e-06
19,0,20,5.449938625399039e-06
19,0,21,8.124185963521687e-06
19,0,22,9.462983284758153e-06
19,0,23,7.86895482535779e-06
19,0,24,3.2376978679589602e-06
19,0,25,-1.7939084767853238e-06
19,0,26,-3.173967754266675e-06
19,0,27,1.144178185082833e-06
19,0,28,8.629867208029957e-06
19,0,29,1.3374426834276715e-05
19,0,30,1.0820853801568652e-05
19,0,31,1.8186521900104681e-06
19,0,32,-7.725534784708689e-06
19,0,33,-1.1656218876828904e-05
19,0,34,-8.512954208960072e-06
19,0,35,-2.241749495377756e-06
19,0,36,1.8516100957065458e-06
20,0,0,-2.6373218526804345e-07
20,0,1,6.024247430742679e-06
20,0,2,7.632573510865843e-06
20,0,3,2.02479553370199e-06
20,0,4,-8.098638620766081e-06
20,0,5,-1.639826684246982e-05
20,0,6,-1.7686467881299073e-05
20,0,7,-1.180427224735576e-05
20,0,8,-3.5308196473569735e-06
20,0,9,1.4302476515087412e-06
20,0,10,7.36278991155991e-07
20,0,11,-3.3356402624587e-06
20,0,12,-6.410603332398135e-06
20,0,13,-5.765007239873628e-06
20,0,14,-2.284416257159933e-06
20,0,15,8.315965839073017e-07
20,0,16,1.0534569967238341e-06
20,0,17,-1.3047902224367887e-06
20,0,18,-3.6378271575833053e-06
20,0,19,-3.515431360571553e-06
20,0,20,-9.141531472573524e-07
20,0,21,1.7748032669973111e-06
20,0,22,1.8402192200939237e-06
