level_0,level_1,level_2,no_vis_data_Oz
19,0,30,6.9101101991830035e-06
19,0,31,1.8694853048415523e-06
19,0,32,-3.0207699178320523e-06
19,0,33,-5.193668844270241e-06
19,0,34,-4.538038842248377e-06
19,0,35,-2.565690776497174e-06
19,0,36,-9.426000501148874e-07
20,0,0,1.9260807962899956e-06
20,0,1,2.411662571387459e-06
20,0,2,5.009096714337865e-06
20,0,3,9.033487865967493e-06
20,0,4,1.2766914923461746e-05
20,0,5,1.406596732563849e-05
20,0,6,1.2076353776009434e-05
20,0,7,8.151170307927507e-06
20,0,8,5.195779599605568e-06
20,0,9,5.117351687515737e-06
20,0,10,7.121469495066917e-06
20,0,11,8.124230346863795e-06
20,0,12,5.5756580798984766e-06
20,0,13,-2.8508009533720925e-07
20,0,14,-6.320705236756506e-06
20,0,15,-9.100396117993012e-06
20,0,16,-7.3736556449239036e-06
20,0,17,-2.753206395126229e-06
20,0,18,2.1059219166121913e-06
20,0,19,5.42470742300648e-06
20,0,20,7.198302881021839e-06
20,0,21,8.088715669623994e-06
20,0,22,8.417587503494134e-06
20,0,23,7.926108928460387e-06
20,0,24,6.785248943896947e-06
20,0,25,5.804299230565118e-06
20,0,26,6.009666047668695e-06
20,0,27,7.458753063660159e-06
20,0,28,9.20363322692749e-06
20,0,29,1.0142370743935862e-05
20,0,30,1.0366548822135458e-05
20,0,31,1.0995059146937862e-05
20,0,32,1.3001810487386738e-05
