level_0,level_1,level_2,no_vis_data_Fz
20,0,0,3.826703744104373e-06
20,0,1,4.604269338812035e-06
20,0,2,5.1911866512931745e-06
20,0,3,4.8976381369747306e-06
20,0,4,3.6926922443863703e-06
20,0,5,2.2325657815402858e-06
20,0,6,1.2426232573117333e-06
20,0,7,9.843544977481214e-07
20,0,8,1.360154530889096e-06
20,0,9,2.428803454489312e-06
20,0,10,4.578172661248372e-06
20,0,11,8.023550737068811e-06
20,0,12,1.2119117489928265e-05
20,0,13,1.5426553957466837e-05
20,0,14,1.6671043952681775e-05
20,0,15,1.572880306202997e-05
20,0,16,1.3625381892087038e-05
20,0,17,1.1538531715857335e-05
20,0,18,9.853041557500756e-06
20,0,19,8.208035555508516e-06
20,0,20,6.387582202163817e-06
20,0,21,4.965281260730232e-06
20,0,22,4.879922998909621e-06
20,0,23,6.287443196027623e-06
20,0,24,8.02309016894497e-06
20,0,25,8.3838547083006e-06
20,0,26,6.613416288341078e-06
20,0,27,3.617434467076278e-06
20,0,28,1.2394712214768298e-06
20,0,29,6.76061664377443e-07
20,0,30,1.601570171478784e-06
20,0,31,2.6752768861403964e-06
20,0,32,2.9206823890967458e-06
20,0,33,2.4963629047310035e-06
20,0,34,2.2529619281272314e-06
20,0,35,2.5958783612903703e-06
20,0,36,3.021918063960679e-06
21,0,0,-1.0905644902484786e-05
21,0,1,-1.1337251804206545e-05
21,0,2,-1.3067954763851383e-05
